Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,2,187,1000
2,0,29,347,1000
3,0,216,347,1000
4,0,404,347,1000
5,0,593,347,1000
6,0,653,347,0
7,0,653,347,0
8,0,653,347,0
9,0,653,347,0
10,0,653,347,0
11,0,653,347,0
12,0,653,347,0
13,0,653,347,0
14,0,653,347,0
15,0,653,347,0
16,0,653,347,0
17,0,653,347,0
18,0,653,347,0
19,0,653,347,0
20,0,653,347,0
21,0,653,347,0
22,217,653,130,1000
23,217,653,130,1000
24,217,653,130,1000
25,217,653,130,1000
26,217,653,130,1000
27,217,653,130,1000
28,217,653,130,1000
29,217,653,130,1000
30,217,653,130,1000
31,217,653,130,1000
32,217,653,130,1000
33,217,653,130,1000
34,217,542,241,1000
35,217,397,386,1000
36,217,397,386,1000
37,217,397,386,1000
38,217,397,386,1000
39,217,397,386,0
40,217,397,386,0
41,217,397,386,0
42,303,397,300,0
43,346,397,257,0
44,346,397,257,0
45,346,397,257,0
46,346,397,257,0
47,346,397,257,0
48,346,397,257,0
49,347,397,256,0
50,347,397,256,0
51,347,397,256,0
52,347,397,256,0
53,347,397,256,0
54,362,397,241,0
55,442,397,161,1000
56,442,397,161,1000
57,442,397,161,1000
58,442,397,161,1000
59,442,397,161,1000
60,442,397,161,1000
61,442,397,161,1000
62,442,397,161,1000
63,567,397,36,1000
64,567,397,36,1000
65,571,397,32,1000
66,571,397,32,1000
67,571,397,32,1000
68,571,349,80,1000
69,571,349,80,1000
70,571,55,374,1000
71,571,55,374,1000
72,571,55,374,1000
73,571,55,374,1000
74,571,55,374,1000
75,603,55,342,0
76,603,55,342,0
77,603,55,342,0
78,603,55,342,0
79,603,55,342,0
80,603,55,342,0
81,603,55,342,0
82,603,55,342,0
83,603,55,342,0
84,603,55,342,0
85,603,55,342,0
86,603,55,342,0
87,603,55,342,0
88,651,55,294,0
89,651,55,294,0
90,795,55,150,1000
91,795,55,150,1000
92,795,55,150,1000
93,795,55,150,1000
94,795,55,150,1000
95,802,55,143,1000
96,824,55,121,1000
97,827,55,118,1000
98,827,55,118,1000
99,827,55,118,1000
100,827,55,118,1000
101,827,55,118,1000
102,827,55,118,1000
103,827,55,118,1000
104,827,55,118,1000
105,827,55,118,1000
106,827,55,118,1000
107,827,55,118,1000
108,827,55,118,1000
109,874,55,71,1000
110,874,55,71,1000
111,874,55,71,1000
112,945,55,0,1000
113,945,55,0,1000
114,945,55,0,1000
115,945,55,0,1000
116,945,55,0,1000
117,945,55,0,1000
118,945,55,0,1000
119,945,55,0,1000
120,945,55,0,1000
121,945,55,0,1000
